student_id,branch,gender,attendance_pct,cgpa,backlogs,internships,projects_completed,certifications,coding_score,communication_score,extracurricular_score,aptitude_score,performance_score,placed,package_lpa
STU0033,CSE,Male,85.4,7.53,0,0,2,2,87.4,70.1,46.6,52.1,90.38,1,9.24
STU0034,MECH,Male,69.7,8.18,1,0,1,1,84.4,73.7,66.5,70.9,75.75,1,11.44
STU0035,EEE,Male,82.4,6.66,1,1,3,1,68.0,49.8,27.9,77.8,73.37,0,0.0
STU0036,CSE,Female,65.8,7.0,1,1,2,0,61.1,67.7,41.5,43.0,60.8,1,8.44
STU0037,EEE,Male,84.5,6.42,0,1,2,3,72.6,66.4,57.1,77.6,71.85,0,0.0
STU0038,CIVIL,Male,71.9,4.28,0,1,3,4,62.3,82.3,64.0,44.6,56.97,0,0.0
STU0039,IT,Female,67.2,5.68,0,0,1,4,90.2,47.9,53.1,66.4,67.05,0,0.0
STU0040,MECH,Female,87.1,5.21,1,0,2,2,66.2,65.4,60.0,51.7,60.27,0,0.0
STU0041,CSE,Female,82.4,4.73,0,0,1,0,58.9,64.2,56.6,88.0,56.26,1,6.0
STU0042,CIVIL,Female,73.9,5.89,1,0,4,4,58.1,81.5,51.7,51.8,71.6,0,0.0
STU0043,CIVIL,Female,94.5,8.66,0,0,2,1,46.8,69.5,49.1,44.9,79.31,0,0.0
STU0044,ECE,Male,75.6,7.15,0,1,1,3,73.3,91.6,46.5,69.9,74.05,1,10.6
STU0045,CSE,Female,80.3,8.62,0,0,4,3,52.7,77.9,59.6,62.2,87.12,1,10.41
STU0046,EEE,Male,82.7,7.65,1,0,4,2,81.5,65.1,63.2,46.9,85.29,1,10.78
STU0047,ECE,Male,73.8,8.06,0,0,3,3,45.6,72.9,59.0,75.4,83.67,1,8.64
STU0048,EEE,Female,84.7,6.21,0,1,5,1,66.9,65.8,31.4,40.1,73.81,0,0.0
STU0049,CIVIL,Female,74.7,7.78,1,1,4,1,82.3,80.3,35.0,53.5,74.75,1,10.88
STU0050,CIVIL,Female,75.9,8.0,1,0,3,3,32.7,54.0,63.0,59.9,71.21,0,0.0
STU0051,CIVIL,Male,93.6,6.57,1,1,0,1,95.3,60.1,84.4,79.2,68.26,0,0.0
STU0052,IT,Female,69.6,7.82,0,0,4,1,58.6,75.5,58.0,86.1,88.39,1,9.72
STU0053,ECE,Male,55.9,7.82,0,0,1,3,67.1,84.7,46.8,83.4,81.23,0,0.0
STU0054,ECE,Female,96.1,6.6,2,3,2,1,73.6,43.6,59.5,65.9,66.0,1,9.6
STU0055,ECE,Female,100.0,5.96,0,0,0,1,75.9,86.5,32.3,34.0,64.49,0,0.0
STU0056,CSE,Female,75.9,5.9,1,1,2,2,69.1,68.3,81.2,73.5,63.7,1,7.66
STU0057,MECH,Female,60.6,7.3,0,1,1,0,80.0,47.4,58.7,88.6,72.01,1,10.18
STU0058,CSE,Female,76.9,7.56,0,1,2,1,72.8,34.0,41.6,85.3,82.99,1,10.1
STU0059,CIVIL,Male,77.1,6.33,1,0,0,1,91.4,51.6,51.7,74.5,67.25,0,0.0
STU0060,CIVIL,Male,78.1,7.23,2,2,1,3,72.8,69.8,44.5,51.3,77.87,0,0.0
STU0061,EEE,Male,68.9,7.83,0,1,1,0,94.5,69.2,81.2,60.6,84.35,1,10.56
STU0062,CIVIL,Female,85.8,7.88,0,3,2,3,78.5,77.6,51.0,95.1,93.87,1,11.52
STU0063,ECE,Male,85.2,8.91,0,1,2,1,37.9,63.4,58.1,48.2,84.23,1,8.31
STU0064,EEE,Male,65.1,8.6,0,1,0,3,100.0,56.7,66.5,51.9,83.46,1,12.18
STU0065,ECE,Female,87.0,6.1,0,0,2,1,56.4,65.0,40.2,81.2,73.42,0,0.0
STU0066,IT,Female,100.0,9.05,0,1,5,0,87.4,70.4,58.9,62.0,96.21,1,12.1
STU0067,EEE,Female,81.7,6.62,1,2,5,3,65.4,72.8,60.5,51.5,82.56,1,9.96
STU0068,ECE,Female,76.6,8.35,0,0,4,2,80.9,60.5,23.9,89.4,93.88,1,10.81
STU0069,CSE,Female,78.6,7.27,1,1,0,0,54.7,80.8,60.1,74.5,68.61,0,0.0
STU0070,ECE,Male,86.2,6.75,2,2,0,1,74.4,62.5,54.1,62.7,65.57,0,0.0
STU0071,CIVIL,Female,62.7,5.21,0,0,1,0,61.2,59.6,57.6,52.0,63.81,0,0.0
STU0072,IT,Female,81.6,7.01,0,2,3,0,88.7,63.5,55.7,96.7,76.94,1,11.28
STU0073,ECE,Female,76.1,5.48,1,2,1,0,71.6,82.9,60.2,67.7,67.46,0,0.0
STU0074,CSE,Male,98.5,8.26,0,1,2,2,79.0,68.4,81.7,87.6,90.2,1,9.64
STU0075,CIVIL,Female,78.3,8.87,0,0,2,1,32.5,61.7,31.4,80.5,77.07,1,9.15
STU0076,ECE,Female,96.7,6.32,0,0,3,1,63.7,81.1,48.2,60.7,71.64,0,0.0
STU0077,IT,Female,69.0,7.53,0,0,0,3,71.2,95.7,68.3,60.8,69.29,1,10.71
STU0078,IT,Male,85.9,6.4,0,1,1,1,68.4,72.5,64.6,88.2,75.98,0,0.0
STU0079,MECH,Female,83.2,6.51,2,1,2,1,79.4,84.8,64.2,88.5,65.95,1,9.47
STU0080,CIVIL,Female,71.3,8.05,1,0,0,4,59.5,82.4,100.0,41.7,74.06,1,9.64
STU0081,EEE,Female,81.8,7.16,2,1,1,1,65.7,62.7,67.3,75.7,73.19,0,0.0
STU0082,ECE,Male,92.1,9.11,4,3,1,2,82.7,70.3,77.6,66.3,75.02,0,0.0
STU0083,CSE,Female,76.8,6.67,0,1,2,1,30.8,54.6,48.9,53.5,65.24,0,0.0
STU0084,CIVIL,Female,63.1,8.3,1,2,0,0,73.8,67.5,35.1,71.7,68.79,1,8.97
STU0085,MECH,Male,79.8,7.31,1,0,1,3,60.0,62.5,48.7,49.1,70.09,1,7.83
STU0086,CIVIL,Female,71.0,8.08,1,0,2,1,51.3,65.2,69.2,61.5,84.57,1,7.36
STU0087,CSE,Male,76.6,6.71,1,0,1,0,70.0,61.0,63.1,56.8,69.34,0,0.0
STU0088,IT,Female,79.2,7.15,2,3,2,1,83.4,66.6,63.1,61.0,70.13,0,0.0
STU0089,CIVIL,Male,62.9,7.07,0,1,2,1,80.6,76.4,50.7,67.0,73.0,1,11.02
STU0090,CIVIL,Female,63.8,6.28,0,1,1,1,63.0,68.6,47.5,53.8,64.91,1,8.6
STU0091,ECE,Female,84.8,7.93,2,0,5,3,78.1,47.6,51.4,90.0,87.14,1,10.0
STU0092,CIVIL,Female,74.8,7.92,0,1,2,1,78.0,61.0,69.5,74.9,81.05,0,0.0
STU0093,EEE,Female,54.4,7.85,0,1,1,2,63.7,51.8,71.8,93.1,80.45,0,0.0
STU0094,ECE,Female,87.8,8.89,0,0,2,0,54.6,72.9,34.9,65.8,81.07,1,11.28
STU0095,EEE,Male,82.7,8.79,2,3,1,3,55.5,76.0,70.2,60.3,74.07,0,0.0
STU0096,IT,Male,72.9,6.79,1,3,2,2,77.6,73.1,42.0,92.6,76.56,0,0.0
STU0097,IT,Female,66.8,7.61,1,0,0,1,64.4,60.6,64.4,59.9,64.36,0,0.0
STU0098,CIVIL,Female,88.4,6.51,2,0,2,1,49.3,73.0,51.2,65.5,66.98,0,0.0
STU0099,MECH,Male,83.5,7.23,2,1,4,2,39.7,64.4,86.3,78.1,72.21,0,0.0
STU0100,CSE,Male,100.0,6.54,0,0,4,2,77.5,56.3,46.6,50.7,73.22,0,0.0
STU0101,CIVIL,Female,84.2,8.98,1,0,4,1,56.8,78.9,58.6,78.0,88.17,0,0.0
STU0102,IT,Female,83.9,7.6,0,1,0,1,70.0,79.8,67.1,76.2,70.76,0,0.0
STU0103,CIVIL,Male,78.3,6.96,0,3,2,2,83.6,81.4,37.5,85.8,83.4,1,10.49
STU0104,CSE,Male,88.2,8.51,1,1,1,1,45.4,62.7,53.5,80.5,77.66,1,10.31
STU0105,CIVIL,Male,86.3,4.81,0,1,2,1,64.3,84.2,49.7,86.2,72.27,1,9.01
STU0106,CIVIL,Female,92.5,4.98,1,0,2,2,62.4,64.1,44.7,66.5,66.55,1,9.1
STU0107,CIVIL,Male,74.8,8.08,1,1,2,0,70.7,77.8,46.2,55.9,71.75,0,0.0
STU0108,MECH,Female,75.6,7.27,2,2,0,1,83.6,63.9,77.2,97.5,63.37,0,0.0
STU0109,ECE,Male,75.2,7.48,1,1,0,0,45.1,67.3,43.0,46.6,61.06,0,0.0
STU0110,CIVIL,Male,87.9,5.74,0,2,0,0,73.5,40.9,66.3,48.0,58.56,0,0.0
STU0111,IT,Female,95.0,7.17,0,0,3,1,80.5,66.4,61.3,75.9,90.84,0,0.0
STU0112,CIVIL,Female,75.4,9.4,1,1,3,1,62.2,71.1,27.1,90.7,89.17,0,0.0
STU0113,MECH,Female,75.8,8.11,0,3,3,1,62.9,65.1,65.4,70.7,86.87,1,11.63
STU0114,ECE,Female,83.1,7.39,0,2,0,2,71.3,91.1,26.7,82.0,76.96,1,10.21
STU0115,MECH,Female,77.5,6.72,0,0,3,0,70.2,56.1,67.6,40.1,71.17,0,0.0
STU0116,MECH,Female,89.5,6.77,0,0,2,3,73.7,63.2,44.9,61.0,78.27,1,8.68
STU0117,CSE,Female,57.5,4.86,0,1,1,2,73.4,59.1,55.2,41.8,61.6,0,0.0
STU0118,CSE,Male,71.7,7.48,0,1,5,2,50.3,63.2,29.1,78.9,83.72,1,11.01
STU0119,IT,Male,72.2,8.13,0,0,2,2,79.9,82.4,57.4,46.3,78.0,0,0.0
STU0120,CSE,Female,56.8,5.47,1,0,1,1,82.5,87.7,73.5,50.1,64.72,0,0.0
STU0121,ECE,Male,70.4,6.47,1,0,0,2,67.8,61.6,38.9,75.2,64.8,0,0.0
STU0122,CIVIL,Female,70.8,5.93,0,2,3,0,42.6,61.3,42.9,82.9,64.46,0,0.0
STU0123,MECH,Female,78.0,6.14,0,1,1,4,63.3,56.1,64.1,65.8,59.9,0,0.0
STU0124,ECE,Male,91.1,7.26,0,0,2,4,67.9,85.7,64.6,76.0,85.95,1,9.73
STU0125,EEE,Female,77.5,4.91,0,0,0,0,47.8,83.5,6.3,75.5,56.21,0,0.0
STU0126,MECH,Male,69.7,7.88,1,3,0,1,59.6,68.7,95.3,65.0,71.27,1,9.39
STU0127,CSE,Female,79.4,8.03,0,0,2,0,43.9,53.2,65.6,52.7,73.93,0,0.0
STU0128,CIVIL,Male,90.5,6.92,1,1,0,3,74.1,54.3,68.9,75.9,71.6,0,0.0
STU0129,MECH,Male,70.2,4.47,0,2,1,3,67.5,72.0,52.1,76.6,59.06,0,0.0
STU0130,MECH,Female,70.9,6.1,0,2,6,1,40.3,76.6,17.9,80.5,75.18,1,9.31
STU0131,MECH,Female,85.6,8.56,0,2,0,0,70.3,45.2,68.5,72.4,84.54,1,10.86
STU0132,MECH,Male,77.8,4.14,0,1,1,0,64.2,66.1,43.7,51.6,52.18,0,0.0
STU0133,CSE,Female,86.5,6.82,2,2,4,5,72.7,89.4,65.9,77.7,82.57,1,10.58
STU0134,MECH,Female,79.9,5.9,1,1,2,3,59.1,67.4,50.6,68.0,66.43,0,0.0
STU0135,CIVIL,Male,87.0,8.09,0,0,3,0,53.0,87.9,59.8,61.2,79.04,1,8.39
STU0136,IT,Female,69.6,6.46,1,0,2,1,53.4,77.8,39.5,63.9,65.69,1,8.1
STU0137,MECH,Female,79.9,7.64,2,0,1,1,56.9,57.0,72.3,58.3,62.75,0,0.0
STU0138,CSE,Male,77.9,7.82,0,1,0,0,65.3,66.5,31.2,80.4,77.37,1,8.27
STU0139,ECE,Female,67.8,9.22,0,0,1,0,67.2,68.5,99.9,48.1,76.01,1,9.29
STU0140,ECE,Female,64.4,6.98,0,1,1,4,62.1,58.6,99.8,54.1,68.75,0,0.0
STU0141,EEE,Female,86.9,7.61,0,1,2,1,58.7,58.4,87.7,63.4,70.57,1,11.36
STU0142,IT,Female,76.5,5.57,1,0,0,0,59.7,88.1,80.5,90.6,58.71,0,0.0
STU0143,IT,Female,69.8,8.51,0,1,2,3,100.0,58.3,53.3,82.8,98.45,0,0.0
STU0144,ECE,Male,79.0,6.36,1,0,3,1,53.4,82.9,78.3,45.0,65.15,0,0.0
STU0145,EEE,Female,91.3,6.58,0,5,1,1,56.6,64.8,53.1,86.9,75.93,0,0.0
STU0146,EEE,Male,57.2,7.18,1,2,1,2,100.0,69.7,23.9,86.9,85.46,1,11.06
STU0147,CSE,Female,65.0,5.48,0,0,3,1,71.3,76.7,85.1,51.6,66.7,0,0.0
STU0148,IT,Male,70.8,7.45,0,0,1,0,44.3,62.8,77.6,32.7,63.97,0,0.0
STU0149,CIVIL,Male,94.6,8.26,1,3,1,0,77.6,76.8,54.4,67.0,77.88,1,9.79
STU0150,CSE,Male,82.8,7.52,0,0,3,4,51.3,45.4,30.5,83.7,83.81,0,0.0
STU0151,EEE,Female,87.7,5.45,0,1,1,0,78.6,75.3,43.3,90.3,65.94,0,0.0
STU0152,IT,Male,68.6,7.06,0,5,4,1,61.8,40.4,18.6,55.8,73.67,1,11.77
STU0153,EEE,Male,68.8,8.02,1,0,1,2,58.4,67.3,73.9,92.5,81.09,0,0.0
STU0154,IT,Female,84.5,5.13,1,0,1,1,89.1,80.3,22.9,36.8,64.1,0,0.0
STU0155,ECE,Female,80.6,6.02,0,1,2,1,73.5,77.5,60.7,62.8,63.73,0,0.0
STU0156,MECH,Male,85.5,8.16,1,0,0,0,79.6,54.4,38.1,62.2,73.17,0,0.0
STU0157,CSE,Female,78.1,7.5,0,1,0,0,71.5,56.0,26.5,84.1,73.99,1,9.94
STU0158,MECH,Male,82.8,7.65,1,3,2,3,58.3,61.7,59.8,86.2,81.78,0,0.0
STU0159,MECH,Male,81.6,9.25,0,0,2,0,74.2,72.2,48.3,81.4,95.18,0,0.0
STU0160,CIVIL,Female,87.8,7.72,1,1,1,1,83.1,45.6,71.8,49.1,87.17,0,0.0
STU0161,EEE,Male,88.1,7.92,0,1,1,0,67.0,69.8,29.6,80.1,78.73,1,10.1
STU0162,MECH,Female,63.8,10.0,0,0,0,1,92.0,73.7,39.9,75.1,90.42,1,11.71
STU0163,ECE,Female,57.5,6.96,0,2,3,0,77.8,66.6,7.2,44.6,74.27,1,10.92
STU0164,ECE,Female,90.0,6.32,0,1,3,2,68.2,76.3,11.3,39.1,70.63,1,9.15
STU0165,ECE,Male,91.9,7.67,1,1,1,2,68.8,72.7,91.0,82.5,78.51,0,0.0
STU0166,CIVIL,Female,69.8,7.68,1,0,0,0,67.1,63.5,96.7,65.5,68.0,0,0.0
STU0167,IT,Female,61.4,6.62,0,0,3,3,46.2,46.8,56.9,50.0,59.37,0,0.0
STU0168,IT,Male,81.0,6.06,0,0,2,0,63.6,71.6,38.5,65.1,68.65,0,0.0
STU0169,ECE,Male,89.3,9.74,1,0,1,2,68.3,58.6,49.0,73.1,89.36,1,12.08
STU0170,CSE,Male,98.0,7.56,0,1,5,1,58.8,63.1,72.5,66.8,90.84,0,0.0
STU0171,CSE,Female,85.2,6.39,1,0,1,5,70.1,75.7,44.7,46.3,70.59,0,0.0
STU0172,CSE,Female,76.3,8.21,0,1,0,1,65.3,87.0,59.8,94.4,76.12,1,9.15
STU0173,CIVIL,Male,71.1,7.08,1,2,3,0,76.6,69.5,54.7,82.1,73.71,1,10.87
STU0174,CIVIL,Female,80.1,6.92,0,1,2,1,74.9,76.6,43.6,63.3,67.54,1,10.62
STU0175,CIVIL,Female,77.0,7.82,0,0,1,3,67.5,52.7,44.5,63.9,75.54,0,0.0
STU0176,ECE,Female,69.8,5.78,0,3,3,0,44.5,72.9,60.9,73.0,67.07,1,8.49
STU0177,CIVIL,Male,100.0,7.59,0,1,1,1,91.9,69.3,35.5,52.2,81.56,0,0.0
STU0178,CSE,Male,97.9,9.3,1,0,3,0,62.9,84.8,64.0,72.5,92.76,0,0.0
STU0179,EEE,Male,91.4,7.71,2,0,5,2,63.8,63.5,45.6,49.4,71.01,0,0.0
STU0180,MECH,Female,70.8,6.79,1,1,3,0,59.9,67.1,57.5,67.0,67.98,1,8.37
STU0181,EEE,Female,88.6,6.64,1,3,2,1,57.7,82.7,82.7,51.6,66.34,0,0.0
STU0182,CSE,Female,86.4,6.75,0,1,2,0,88.2,68.9,51.6,52.3,79.34,1,9.03
STU0183,ECE,Male,84.4,6.92,0,0,1,1,85.8,56.7,73.4,91.0,81.84,0,0.0
STU0184,CIVIL,Male,92.5,6.78,0,1,4,1,71.7,100.0,19.2,68.8,83.16,1,9.36
STU0185,ECE,Male,86.4,8.21,0,0,2,1,63.4,57.1,45.6,70.9,89.79,0,0.0
STU0186,ECE,Female,87.4,5.29,1,0,0,1,74.3,69.2,55.6,39.8,56.2,0,0.0
STU0187,CSE,Male,86.4,8.15,1,0,2,1,66.1,74.2,93.5,59.6,84.38,0,0.0
STU0188,ECE,Female,83.4,6.78,0,0,3,0,62.1,73.2,15.8,74.5,71.18,0,0.0
STU0189,IT,Female,62.2,7.61,0,0,1,1,70.1,67.7,53.1,70.7,71.25,1,8.89
STU0190,IT,Male,80.8,5.96,0,1,0,0,58.4,67.8,84.1,37.8,63.43,0,0.0
STU0191,CIVIL,Male,74.4,8.66,0,2,1,0,68.8,67.2,39.3,70.9,76.31,1,11.79
STU0192,MECH,Male,67.2,8.57,0,2,2,3,68.1,56.6,50.7,73.1,88.52,1,11.22
STU0193,MECH,Female,96.8,8.26,0,0,0,2,74.0,95.8,61.6,86.0,86.59,1,8.3
STU0194,ECE,Female,97.3,5.53,0,0,4,2,55.7,67.4,58.7,58.8,75.9,0,0.0
STU0195,EEE,Male,93.6,8.11,0,0,2,1,75.7,77.2,86.3,36.6,82.28,0,0.0
STU0196,CSE,Male,82.6,7.65,0,3,2,0,51.4,66.0,64.0,54.0,75.22,0,0.0
STU0197,ECE,Female,93.5,5.43,0,2,3,1,56.4,65.7,81.6,52.6,68.96,1,10.53
STU0198,CSE,Male,80.1,7.17,0,1,2,0,57.1,64.5,47.8,78.3,72.38,0,0.0
STU0199,ECE,Male,82.0,7.6,0,0,1,3,48.9,51.4,40.2,30.0,70.81,1,9.7
STU0200,EEE,Male,69.1,7.81,0,2,0,3,80.2,68.1,50.5,61.7,80.92,1,11.88
STU0201,ECE,Male,84.0,7.39,0,1,3,1,50.5,65.1,31.8,88.0,79.8,1,10.14
STU0202,EEE,Male,80.6,7.52,3,0,3,3,54.5,84.1,64.7,68.1,69.07,0,0.0
STU0203,ECE,Female,67.0,8.82,0,0,0,1,83.8,55.6,47.3,80.5,84.46,1,9.76
STU0204,CIVIL,Female,79.5,8.55,0,2,1,3,56.4,63.1,41.6,45.0,87.96,1,11.88
STU0205,ECE,Female,79.2,4.05,2,0,2,1,62.2,59.2,65.0,45.6,46.1,0,0.0
STU0206,IT,Female,98.0,6.85,1,0,2,3,49.8,87.3,32.1,88.1,73.89,1,9.54
STU0207,CIVIL,Female,88.9,7.02,2,0,3,2,77.5,59.6,70.4,69.4,67.99,0,0.0
STU0208,EEE,Male,80.1,5.27,1,2,1,3,77.7,76.7,45.4,69.4,63.96,0,0.0
STU0209,IT,Male,82.5,7.3,2,1,2,0,76.1,81.6,78.2,52.3,72.05,1,8.34
STU0210,CIVIL,Female,80.4,8.57,1,0,2,1,73.1,68.2,47.1,69.4,86.03,1,9.62
STU0211,IT,Male,78.0,6.0,2,0,2,2,66.1,53.5,67.6,52.0,62.25,0,0.0
STU0212,CIVIL,Female,69.2,7.57,1,5,2,3,57.1,53.6,58.6,84.6,80.35,1,11.81
STU0213,CIVIL,Female,78.5,6.19,0,1,0,1,52.8,80.3,69.9,100.0,70.96,1,8.66
STU0214,ECE,Male,72.5,6.46,0,0,1,0,84.3,54.9,57.2,74.8,76.01,0,0.0
STU0215,CIVIL,Female,67.5,8.83,0,0,6,2,76.5,74.7,21.7,59.1,97.63,1,11.26
STU0216,IT,Female,85.1,6.6,0,0,3,0,54.6,71.4,75.2,32.5,75.48,0,0.0
STU0217,CSE,Male,83.9,7.71,0,0,2,1,65.6,74.5,53.2,44.4,77.25,0,0.0
STU0218,CSE,Male,62.1,5.14,0,2,2,2,60.5,75.7,70.8,89.8,58.9,1,8.42
STU0219,ECE,Female,78.8,9.25,0,0,1,1,48.1,58.8,68.8,53.6,85.55,1,10.74
STU0220,EEE,Female,90.0,7.86,1,1,5,2,67.7,58.3,39.5,62.8,88.12,1,10.66
STU0221,CSE,Male,90.6,7.0,1,0,2,1,58.8,78.6,36.7,77.2,79.71,1,8.55
STU0222,ECE,Female,90.3,7.83,0,0,0,0,50.7,62.4,68.1,88.8,82.14,0,0.0
STU0223,CIVIL,Male,80.4,5.65,0,0,4,1,42.8,37.0,48.9,65.2,75.08,0,0.0
STU0224,IT,Female,71.5,8.5,0,0,1,1,41.5,77.8,73.7,62.3,79.66,1,7.94
STU0225,CIVIL,Female,69.2,6.84,0,3,1,1,59.4,57.6,51.4,69.0,71.15,0,0.0
STU0226,IT,Male,83.4,6.98,0,2,2,1,63.7,75.6,75.5,59.2,69.13,0,0.0
STU0227,CIVIL,Female,83.8,6.66,0,1,3,3,51.9,86.7,63.5,60.0,76.55,1,9.79
STU0228,MECH,Female,92.9,6.56,0,1,3,1,74.8,70.2,60.8,73.8,76.28,1,8.71
STU0229,MECH,Female,91.0,7.96,1,1,1,3,64.0,81.9,47.5,70.6,80.82,1,10.33
STU0230,IT,Male,78.7,7.48,1,0,2,1,73.7,71.8,59.6,97.8,79.04,0,0.0
STU0231,ECE,Male,67.6,7.92,4,0,1,0,62.3,89.0,78.9,74.1,64.1,0,0.0
STU0232,EEE,Male,76.8,7.19,0,1,2,1,53.2,57.3,53.9,84.1,75.46,1,8.63
STU0233,CSE,Male,82.2,7.76,0,0,1,0,66.7,69.9,65.6,53.0,79.74,1,10.27
STU0234,CIVIL,Male,78.0,6.74,1,0,0,3,46.1,78.1,55.9,75.4,55.8,0,0.0
STU0235,ECE,Female,74.2,9.65,0,3,1,1,73.1,67.7,57.5,57.9,89.54,1,11.53
STU0236,CIVIL,Female,82.5,5.48,1,0,3,1,50.9,83.8,89.5,73.5,68.15,0,0.0
STU0237,MECH,Female,75.0,8.59,1,1,2,3,78.8,64.8,79.0,77.6,93.55,1,12.3
STU0238,ECE,Male,73.7,8.7,0,2,1,1,59.9,94.8,56.6,68.7,85.04,1,11.28
STU0239,IT,Male,83.1,6.26,1,2,0,1,80.9,95.5,59.3,100.0,76.6,0,0.0
STU0240,MECH,Female,76.0,9.65,0,1,3,0,48.2,73.4,41.0,88.0,91.41,1,12.03
STU0241,CSE,Male,82.4,8.3,0,1,1,3,54.8,76.6,51.5,84.5,84.24,0,0.0
STU0242,MECH,Female,82.7,8.27,0,0,3,1,70.7,84.3,61.2,78.7,89.22,1,10.63
STU0243,CSE,Female,68.6,7.23,1,1,3,0,82.6,55.8,72.0,92.7,77.22,0,0.0
STU0244,MECH,Male,75.2,6.96,2,0,2,1,90.0,54.3,70.0,47.9,66.0,0,0.0
STU0245,MECH,Male,94.4,6.97,0,1,1,1,65.6,85.1,32.8,87.2,75.48,1,10.16
STU0246,CSE,Male,68.4,7.63,1,1,2,0,92.6,73.3,74.5,54.1,70.99,1,10.06
STU0247,CIVIL,Male,58.8,8.74,0,0,0,1,60.7,67.3,53.2,60.1,79.69,1,10.33
STU0248,ECE,Male,61.4,7.4,0,0,0,2,81.5,70.1,35.3,75.9,75.87,0,0.0
STU0249,CIVIL,Female,80.3,6.2,0,2,0,1,50.9,41.4,81.7,85.3,65.17,0,0.0
STU0250,CSE,Female,80.3,8.11,1,2,2,1,71.3,67.7,84.3,51.8,75.61,1,10.37
STU0251,IT,Female,78.8,8.21,1,3,4,4,29.9,61.0,60.3,60.8,82.17,1,11.73
STU0252,ECE,Female,92.1,7.92,1,1,3,5,48.2,81.0,69.2,69.4,86.53,1,10.22
STU0253,IT,Female,53.3,8.02,0,0,3,3,72.0,81.9,70.3,65.4,77.93,0,0.0
STU0254,IT,Male,84.0,6.9,2,1,2,1,45.3,76.9,82.9,80.0,61.44,1,8.86
